1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-0.448468,-0.498607,-0.78273,-0.821727,-0.077994,-0.562674,-0.685237,-0.963788,0.10585,-0.735376,-1.083565,-0.969359,-0.194986,-0.749304,-0.763231,-0.498607,-0.281337,-0.830084,-0.495822,-0.573816
-0.803163,-0.404218,-0.404218,-0.518453,-0.260105,-0.314587,-0.344464,-1.393673,0.43761,-0.984183,-0.98594,-0.521968,-0.144112,-0.516696,-0.869947,-0.279438,-0.456942,-0.602812,-0.286467,-0.952548
-0.951923,0.168269,-0.384615,-0.100962,-3.100962,-0.706731,-0.572115,-0.653846,-1.067308,-1.788462,-1.5625,-0.408654,-0.5625,-0.903846,-0.610577,-0.038462,-1,-2.504808,-1.288462,-1.6875
-1.502479,-1.523967,-1.861157,-1.912397,-2.345455,-1.53719,-2.142149,-2.512397,-1.505785,-2.049587,-1.97686,-1.970248,-2.090909,-2.813223,-2.993388,-0.573554,-1.031405,-2.897521,-2.608264,-1.793388
-0.392813,-0.801735,-0.903346,-1.258984,-1.026022,-0.39777,-0.864932,-1.567534,-0.600991,-0.684015,-0.322181,-0.916976,-0.488228,-0.977695,-1.057001,0.024783,-0.29368,-2.111524,-1.10285,-0.577447
-1.23301,-2.605178,-2.582524,-3.171521,-3.239482,-2.453074,-2.747573,-2.883495,-2.537217,-2.734628,-2.339806,-2.517799,-2.200647,-3.268608,-3.679612,-1.728155,-1.682848,-3.763754,-3.203883,-2.174757
-0.743767,-0.32133,-0.630194,-0.65374,-0.386427,0.012465,-0.066482,-1.566482,-0.218837,-0.736842,-0.632964,-0.220222,-0.062327,-0.936288,-1.282548,-0.355956,-0.534626,-1.314404,-1.044321,-0.844875
-0.516874,-0.262877,-0.763766,-0.753108,-0.706927,-0.056838,-0.373002,-1.470693,-0.133215,-0.959147,-0.719361,-0.584369,-0.371226,-1.083481,-0.525755,-0.063943,-0.353464,-1.866785,-1.087034,-0.815275
-0.4,-1.314286,-0.342857,-1.328571,-1.971429,-0.728571,-1.028571,-0.471429,-1.228571,-1.4,-1.8,-0.571429,-1.2,-1.914286,-2.128571,-0.328571,-0.471429,-2,-1.271429,-1.057143
-0.88992,-0.66313,-0.32626,-0.940318,-1.278515,-0.580902,-0.48939,-1.551724,-0.633952,-0.618037,-0.875332,-0.206897,-0.001326,-0.856764,-1.397878,-0.202918,-0.312997,-1.915119,-0.679045,-0.962865
-4.210296,-2.257393,-3.125958,-4.442497,-2.922234,-2.506024,-3.041621,-4.248631,-1.592552,-4.140197,-4.497262,-2.048193,-3.945235,-4.445783,-5.071194,-2.179628,-2.603505,-5.415115,-3.766703,-4.368018
-0.455782,-1.129252,-1.126984,-1.893424,-0.544218,-0.981859,-1.596372,-1.251701,-0.988662,-0.437642,-0.473923,-1.462585,-0.274376,-0.662132,-0.907029,-0.086168,-0.222222,-1.748299,-0.863946,-0.358277
-0.540426,-1.544681,-1.225532,-1.731915,-1.034043,-1.217021,-1.557447,-1.148936,-1.361702,-0.144681,-0.395745,-1.625532,0.008511,-0.119149,-1.225532,-0.310638,-0.46383,-1.361702,-0.744681,-0.280851
-0.697183,-1.093897,-1.366197,-1.598592,-1.535211,-1.180751,-1.356808,-1.514085,-0.78169,-0.816901,-0.964789,-1.539906,-0.521127,-0.633803,-1.293427,-0.530516,-0.666667,-0.93662,-0.570423,-0.821596
-1.54479,-2.241316,-2.634369,-3.093236,-3.555759,-2.400366,-2.88117,-3.085923,-2.031079,-2.263254,-1.994516,-2.658135,-1.798903,-2.378428,-3.263254,-1.725777,-1.727605,-3.281536,-2.636197,-2.107861
-0.952096,-0.661677,-0.553892,-0.643713,-1.988024,-0.646707,-0.392216,-1.230539,-0.51497,-1.631737,-1.55988,-1.883234,-0.862275,-1.479042,-0.691617,-0.413174,-0.859281,-1.742515,-1.655689,-1.278443
-0.527027,-1.225225,-0.765766,-1.265766,-1.045045,-0.86036,-1.486486,-1.490991,-0.657658,-0.572072,-0.806306,-1.166667,-0.198198,-0.369369,-0.797297,-0.373874,-0.324324,-1.531532,-0.936937,-0.522523
-0.378378,-2.105105,-3.153153,-2.861862,-3.528529,-2.42042,-2.552553,-2.153153,-2.423423,-2.327327,-2.186186,-2.81982,-2.246246,-3.312312,-3.126126,-1.966967,-1.708709,-3.885886,-3.309309,-1.267267
-0.003012,-1.310241,-1.072289,-1.61747,-1.539157,-1.222892,-1.448795,-0.518072,-0.63253,-0.436747,-0.533133,-1.680723,-0.271084,-0.328313,-1.198795,-0.403614,-0.036145,-0.789157,-0.557229,-0.25
-0.642289,-1.346582,-1.701113,-1.537361,-2.496025,-1.585056,-1.136725,-1.880763,-1.591415,-1.260731,-1.502385,-1.397456,-1.168521,-1.918919,-2.475358,-1.076312,-1.058824,-3.011129,-1.872814,-1.068362
0.357664,-1.19708,-3.927007,-2.613139,-2.919708,-2.737226,-2.408759,-2.79562,-2.043796,-2.262774,-1.335766,-3.693431,-2.065693,-3.087591,-3.270073,-1.861314,-1.773723,-3.116788,-3.226277,-1.109489
-0.621359,-0.783172,-1.236246,-1.339806,-1.640777,-0.864078,-0.656958,-1.815534,-0.737864,-0.990291,-1.032362,-0.899676,-0.825243,-1.291262,-1.349515,-0.618123,-0.634304,-2.122977,-1.472492,-0.84466
-2.153846,-2.190045,-2.081448,-2.486425,-4.061086,-2.219457,-1.873303,-3.690045,-2.733032,-1.81448,-2.135747,-1.651584,-1.884615,-3.253394,-3.764706,-2.142534,-2.065611,-4.71267,-2.834842,-2.11991
-1.402477,-2.255418,-2.472136,-2.933437,-4.309598,-2.226006,-2.325077,-2.797214,-3.060372,-2.082043,-2.495356,-2.114551,-2.080495,-3.109907,-3.543344,-1.760062,-1.665635,-4.145511,-2.606811,-1.682663
-0.053191,-0.255319,-1.035461,-0.765957,-2.060284,-0.521277,-0.414894,-1.099291,-0.27305,-1.070922,-0.971631,-0.960993,-0.390071,-1.152482,-1.010638,-0.41844,-0.528369,-1.51773,-0.968085,-0.836879
-0.649485,-0.216495,-0.445017,-0.786942,-1.69244,-0.121993,-0.517182,-1.166667,-0.094502,-1.347079,-1.135739,-0.680412,-1.063574,-1.594502,-0.140893,0.573883,-0.152921,-2.372852,-1.408935,-1.14433
-1.129412,-1.814118,-2.105882,-2.637647,-1.861176,-2.141176,-2.562353,-2.614118,-1.051765,-1.807059,-1.395294,-2.305882,-1.567059,-1.743529,-2.651765,-1.261176,-1.458824,-2.496471,-1.877647,-1.578824
-0.370107,-0.55516,-0.501779,-0.441281,-0.629893,-0.106762,-0.085409,-1.256228,-0.274021,-0.875445,-1.053381,-0.145907,-0.58363,-1.24911,-0.839858,-0.284698,-0.494662,-1.562278,-1.092527,-0.647687
-0.609467,-0.846154,-2.130178,-1.443787,-4,-0.816568,-1.053254,-1.721893,-2.005917,-1.266272,-0.852071,-2.236686,-0.946746,-1.828402,-2.005917,-1.04142,-1.017751,-1.828402,-2.390533,-0.905325
-1.509532,-2.519931,-3.045061,-3.029463,-3.42461,-2.599653,-2.523397,-3.287695,-2.831889,-2.388215,-2.275563,-2.691508,-2.521664,-3.504333,-3.97227,-2.398614,-2.55286,-4.762565,-3.55286,-2.256499
-0.352843,-0.727425,-1.79097,-1.85786,-2.958194,-0.620401,-1.158863,-2.053512,-0.919732,-1.195652,-0.866221,-2.098662,-1.140468,-2.215719,-2.667224,-1.050167,-0.961538,-2.809365,-2.227425,-1.168896
-0.521858,-2.584699,-3.213115,-3.273224,-4.132514,-2.601093,-2.643443,-2.606557,-3.172131,-1.846995,-1.991803,-2.756831,-1.976776,-3.26776,-3.636612,-1.79235,-1.666667,-4.289617,-3.67623,-1.296448
-1.480132,-0.930464,-0.145695,-0.864238,-1.639073,-0.910596,-0.927152,-2.258278,-0.748344,-0.817881,-1.298013,0.023179,-0.94702,-0.970199,-1.711921,-0.698675,-0.890728,-2.043046,-0.745033,-1.324503
-1.623188,-1.835749,-1.816425,-2.217391,-2.536232,-1.623188,-1.864734,-2.637681,-2.072464,-1.782609,-1.666667,-1.608696,-1.381643,-2.47343,-3.091787,-1.463768,-1.36715,-3.357488,-2.516908,-1.729469
-0.668731,-0.563467,-0.767802,-0.712074,-0.213622,-0.464396,-0.4613,-1.597523,-0.182663,-0.885449,-0.876161,-0.795666,-0.650155,-0.888545,-1.130031,-0.235294,-0.547988,-1.52322,-1.083591,-0.928793
-0.60815,-0.249216,0.087774,-0.648903,-2.269592,1.84953,0.27116,-1.236677,-0.365204,-1.615987,-1.208464,0.031348,-0.677116,-2.009404,-0.415361,0.089342,-0.418495,-2.354232,-1.492163,-1.351097
-0.760479,-1.185629,-1.341317,-1.185629,-1.311377,-1.131737,-0.772455,-1.676647,-1.335329,-1.149701,-1.437126,-1.017964,-0.862275,-1.850299,-1.245509,-1.095808,-0.94012,-2.347305,-1.383234,-0.988024
-0.764599,-0.448905,-0.59854,-0.833942,0.116788,-0.344891,-0.682482,-1.536496,0.029197,-0.854015,-0.888686,-0.593066,-0.211679,-0.605839,-0.941606,-0.361314,-0.569343,-0.883212,-0.445255,-0.963504
-1.261745,-1.208054,-1.845638,-2.030201,-2.869128,-1.489933,-1.38255,-2.718121,-1.983221,-1.808725,-1.979866,-0.731544,-1.83557,-2.92953,-2.171141,-1.402685,-1.194631,-3.587248,-2.731544,-1.526846
-0.279352,-0.763833,-0.226721,-0.847503,-1.990553,0.087719,-0.60054,-0.842105,-0.402159,-1.666667,-1.578947,-0.780027,-0.979757,-1.94197,0.690958,0.410256,-0.020243,-2.751687,-1.396761,-1.005398
-1.029622,-1.089888,-0.962206,-1.477017,-2.212462,-1.059244,-1.256384,-1.770174,-0.897855,-0.91522,-1.103166,-1.134831,-0.597549,-1.086823,-1.589377,-0.472932,-0.618999,-2.122574,-1.081716,-1.017365
-0.158974,-0.594872,-0.887179,-1.112821,-1.602564,-0.9,-0.902564,-1.135897,-1.010256,-0.830769,-0.828205,-0.941026,-0.930769,-1.371795,-0.238462,-0.007692,0.148718,-2.4,-1.171795,-0.461538
-3.027523,-1.006116,-3.330275,-3.798165,-1.862385,-1.275229,-1.672783,-2.746177,-1.256881,-4.275229,-3.437309,-1.88685,-3.844037,-4.214067,-3.091743,-1.470948,-2.318043,-4.232416,-4.198777,-3.685015
-0.315353,-0.352697,-0.352697,-0.430152,-1.59751,-0.073306,-0.128631,-1.213001,-0.396957,-1.207469,-0.885201,-0.478562,-0.558783,-1.214385,-0.789765,-0.179806,-0.591978,-1.843707,-1.113416,-1.051176
-0.473064,-0.670034,-0.410774,-0.698653,-1.186869,-0.346801,-0.727273,-1.060606,0.025253,-0.747475,-0.993266,-0.747475,-0.045455,-0.540404,-0.957912,-0.356902,-0.309764,-0.16835,-0.109428,-0.737374
-0.427397,-2.676712,-2.523288,-3.457534,-1.920548,-2.383562,-3.008219,-1.769863,-2.523288,-0.457534,-0.589041,-2.791781,-0.59726,-0.70137,-2.484932,-0.745205,-0.739726,-2.350685,-1.991781,-0.528767
-1.159251,-1.400468,-2.24356,-2.248244,-3.084309,-1.880562,-1.98829,-2.529274,-1.58548,-2.23185,-1.861827,-2.067916,-1.847775,-2.332553,-3.096019,-1.592506,-1.59719,-3.051522,-2.466042,-2.081967
-0.901124,-0.676404,-0.546067,-0.642697,-1.957303,-0.557303,-0.503371,-1.74382,-0.561798,-1.2,-0.966292,-0.649438,-0.982022,-1.707865,-0.973034,0.602247,-0.251685,-2.707865,-1.65618,-1.150562
-1.434783,-3.42029,-3.076087,-4.300725,-3.768116,-2.942029,-3.865942,-3.057971,-3.724638,-0.641304,-0.887681,-3.23913,-0.492754,-0.945652,-3.601449,-1.742754,-1.293478,-3.065217,-1.996377,-0.98913
-0.609603,-1.160752,-0.943633,-0.951983,-0.853862,-0.912317,-0.665971,-1.359081,-0.580376,-0.713987,-1.085595,-0.832985,-0.256785,-0.903967,-1.367432,-0.724426,-0.645094,-1.764092,-0.691023,-0.716075
-0.328571,-1.442857,-1.914286,-2.142857,-1.585714,-1.428571,-1.628571,-1.685714,-1.828571,-0.028571,-0.042857,-1.357143,-0.228571,-0.5,-2.114286,-0.642857,-0.271429,-1.885714,-0.9,0.1
-0.231461,-0.514607,-0.723596,-0.791011,-0.6,-0.489888,-0.662921,-1.004494,-0.148315,-0.692135,-0.923596,-0.685393,-0.186517,-0.905618,-1.096629,-0.32809,-0.393258,-1.033708,-0.548315,-0.644944
-0.434783,-1.130435,-1.495652,-1.478261,-2.469565,-1.104348,-0.921739,-2.173913,-0.991304,-1.234783,-1.356522,-0.930435,-0.965217,-1.678261,-1.582609,-1.086957,-1.017391,-2.069565,-1.53913,-0.878261
-0.794816,-0.436285,-1.060475,-0.658747,-0.634989,-0.688985,-0.492441,-1.835853,-0.282937,-1.239741,-1.045356,-0.812095,-0.740821,-0.87905,-1.166307,-0.647948,-0.887689,-0.883369,-1,-1.095032
-0.857888,-0.621904,-0.926988,-1.169492,-1.756193,-0.762712,-0.829205,-1.731421,-0.74837,-1.423729,-1.411995,-0.580183,-1.123859,-1.880052,-1.208605,-0.40678,-0.664928,-2.821382,-1.685789,-1.198175
-0.325581,-0.744186,-3.491694,-2.700997,-2.923588,-1.990033,-2.58804,-2.687708,-1.139535,-3.27907,-2.049834,-3.963455,-2.328904,-3.551495,-3.637874,-1.289037,-1.614618,-4.511628,-3.807309,-2.036545
-0.430693,-1.549505,-1.247525,-1.871287,-1.262376,-1.222772,-1.420792,-1.643564,-1.267327,0.014851,-0.217822,-1.386139,-0.084158,0.252475,-1.79703,-0.440594,-0.346535,-1.722772,-0.490099,-0.242574
